x,y
75.19445414449281,29.73
79.73164788008336,35.26
50.01938006061606,24.13
29.430154266669305,22.57
45.95233309012397,17.09
102.77336006646269,46.97
64.11056768309055,23.54
42.16031626856919,16.2
45.042049895904384,24.81
72.67137417862294,23.71
48.62599209640349,23.54
49.95298962836104,22.92
56.59234452368448,28.27
18.56637762428734,19.94
47.831834878557075,18.58
59.84153866088792,34.04
53.90985946512572,20.6
18.77587247760765,13.93
86.50357162530652,36.69
93.44469208068857,43.81
82.44583778707434,35.96
37.53935639908653,8.79
70.96625597918242,42.61
40.78880061250454,23.0
52.765080655175716,20.47
58.8160065671382,25.89
41.068584323144215,18.41
13.988344167409558,4.64
64.12162659968091,30.6
78.71004110810138,31.19
44.43445126533719,23.48
51.155591384115375,20.7
21.22676812658846,11.15
79.01271447715887,41.1
59.32174091838297,27.36
52.78646658147566,24.74
67.81019274569461,28.22
13.725699160928002,11.3
48.0812859316409,29.35
76.08799676282769,23.17
43.75353742499615,19.07
98.96633528587353,43.36
36.48365249463268,20.21
75.70982821659126,23.81
89.48687093278336,34.59
25.01721246194686,15.78
80.29251991645258,34.27
63.467131250008435,27.24
52.67618553378979,21.68
51.56094483415703,17.4
42.062863256544915,16.16
59.8370325906773,28.25
55.55982356639642,11.21
83.97584336274635,39.84
52.06616995808284,20.74
46.084145933275636,9.09
48.21034686852289,27.25
70.33904435649683,34.09
53.81018927374926,23.72
29.420522165990818,10.24
57.57412793295304,29.48
52.89825327522738,27.46
38.26818288301429,24.18
61.52001549273731,23.44
53.12819102723575,24.95
48.799407746586375,22.56
50.92009019369302,24.33
33.45274601917532,16.38
56.79936952236032,29.52
35.30830905587801,13.6
74.06158136852781,37.57
33.583188864577096,17.63
39.39044554791938,16.43
68.82990091321636,33.67
42.69304244715706,19.72
49.3183496693086,22.98
66.28505265126006,26.23
70.20452437062403,31.93
39.54888394392266,20.14
31.507944967520025,17.65
51.84889373810447,20.43
56.582712080007475,25.08
36.90482880859395,14.04
54.99597592102314,19.56
16.39428978375682,7.99
54.53991745096825,23.54
21.0135056060862,3.64
59.25446388656624,20.27
67.01885211353654,28.44
